From,To
Pamela,Cole
Darry,Carry
John,Pamela
Michael,May
Darry,Carry
John,Pamela
May,John
John,Pamela
Michael,Jim
May,John
Pamela,May
May,John
Pamela,May
John,May
John,May
Darry,Carry
May,John
John,May
Michael,Jim
May,John
May,John
May,John
May,John
Darry,Carry
John,Pamela
Darry,Carry
Darry,Carry
Pamela,May
May,John
John,Pamela
Darry,Carry
Pamela,May
Michael,May
Pamela,May
Michael,Jim
John,Pamela
John,May
Michael,Jim
Pamela,May
Pamela,Cole
John,May
Michael,Jim
John,May
John,May
Darry,Carry
Pamela,May
John,Pamela
John,Pamela
May,John
John,May
John,May
John,Pamela
John,May
John,Pamela
John,May
Michael,Jim
Michael,Jim
John,Pamela
Michael,Jim
Michael,Jim
Michael,Jim
Pamela,Cole
Michael,Jim
Pamela,May
May,John
John,May
Pamela,Cole
May,John
Michael,Jim
Michael,Jim
John,Pamela
Pamela,May
May,John
Darry,Carry
May,John
John,May
John,May
John,Pamela
Pamela,Cole
Pamela,May
John,Pamela
Pamela,Cole
